ano,dia
10277,47
10278,6
10278,14
10278,16
10278,19
10278,21
10278,26
10278,31
10278,34
10278,47
10278,48
10279,4
10279,22
10279,34
10279,34
10279,34
10279,35
10279,38
10279,41
10279,42
10279,42
10280,2
10280,6
10280,8
10280,9
10280,15
10280,22
10280,23
10280,27
10280,30
10280,32
10280,37
10280,47
10280,48
10280,49
10281,1
10281,10
10281,13
10281,20
10281,21
10281,25
10281,29
10281,30
10281,35
10281,35
10281,38
10281,49
10282,7
10282,12
10282,42
10282,46
10282,48
10283,4
10283,4
10283,4
10283,12
10283,14
10283,17
10283,18
10283,20
10283,21
10283,24
10283,29
10283,30
10283,34
10283,36
10283,43
10283,43
10283,43
10283,48
10283,50
10284,5
10284,6
10284,7
10284,16
10284,27
10284,30
10284,32
10284,32
10284,40
10284,43
10285,32
10285,34
10286,5
10286,10
10286,19
10286,21
10286,21
10286,27
10286,39
10287,4
10287,8
10287,14
10287,29
10287,32
10287,40
10287,43
10287,44
10287,44
10287,46
10287,46
10287,48
10288,11
10288,16
10288,30
10288,31
10288,37
10288,38
10288,39
10289,5
10289,24
10289,27
10289,33
10289,33
10289,40
10289,44
10289,47
10290,15
10290,16
10290,21
10290,25
10290,30
10290,34
10290,48
10291,1
10291,15
10291,15
10291,23
10291,24
10291,28
10291,38
10291,43
10292,2
10292,3
10292,4
10292,13
10292,16
10292,21
10292,25
10292,36
10292,36
10292,37
10292,43
10292,44
10292,45
10292,47
10293,15
10293,19
10293,26
10293,36
10293,40
10293,41
10293,47
10294,2
10294,6
10294,6
10294,10
10294,15
10294,18
10294,19
10294,25
10294,25
10294,36
10294,48
10294,48
10295,2
10295,2
10295,2
10295,11
10295,13
10295,16
10295,20
10295,21
10295,26
10295,43
10296,9
10296,11
10296,12
10296,13
10296,21
10296,22
10296,30
10296,33
10297,7
10297,9
10297,15
10297,22
10297,31
10297,32
10297,34
10297,38
10297,40
10297,43
10298,4
10298,5
10298,20
10298,30
10298,31
10298,43
10298,46
10299,8
10299,13
10299,17
10299,25
10299,25
10299,26
10299,31
10299,34
10299,37
10299,40
10299,41
10299,43
10299,44
10299,44
10299,48
10299,49
10300,19
10300,25
10300,26
10300,28
10300,33
10300,33
10300,38
10300,43
10300,44
10300,49
10300,50
10301,9
10301,9
10301,18
10301,34
10301,37
10301,37
10301,44
10301,48
10301,49
10302,9
10302,9
10302,11
10302,15
10302,18
10302,30
10302,33
10302,37
10302,37
10302,49
10303,2
10303,4
10303,6
10303,18
10303,32
10303,39
10303,41
10303,50
10304,10
10304,12
10304,14
10304,16
10304,25
10304,31
10304,38
10304,45
10304,46
10304,46
10304,47
10305,1
10305,10
10305,13
10305,13
10305,13
10305,20
10305,20
10305,23
10305,37
10305,40
10305,43
10305,44
10305,48
10306,28
10306,39
10306,41
10306,42
10306,46
10307,2
10307,8
10307,8
10307,26
10307,30
10307,33
10308,8
10308,10
10308,10
10308,14
10308,14
10308,17
10308,27
10308,33
10308,43
10308,44
10308,45
10308,46
10308,47
10308,48
10309,12
10309,14
10309,15
10309,17
10309,23
10309,26
10309,27
10309,32
10309,47
10309,48
10309,50
10309,50
10310,4
10310,4
10310,10
10310,10
10310,12
10310,15
10310,24
10310,25
10310,28
10310,43
10311,4
10311,5
10311,14
10311,25
10311,29
10311,33
10311,36
10311,42
10311,43
10312,6
10312,19
10312,33
10312,35
10312,36
10312,45
10312,45
10313,3
10313,12
10313,21
10313,29
10313,44
10314,4
10314,11
10314,11
10314,15
10314,15
10314,16
10314,16
10314,19
10314,23
10314,25
10314,28
10314,29
10314,38
10314,42
10314,45
10314,49
10315,2
10315,7
10315,9
10315,20
10315,23
10315,26
10315,26
10315,30
10315,33
10315,34
10315,34
10315,38
10315,41
10315,41
10315,49
10316,1
10316,6
10316,8
10316,18
10316,19
10316,25
10316,29
10316,36
10316,37
10316,42
10316,47
10316,48
10316,48
10317,16
10317,17
10317,17
10317,19
10317,21
10317,30
10317,32
10317,33
10317,44
10317,46
10318,7
10318,22
10318,24
10318,29
10318,30
10318,37
10318,38
10318,40
10318,43
10319,6
10319,16
10319,25
10319,37
10319,41
10319,42
10320,6
10320,10
10320,20
10320,23
10320,27
10320,35
10320,36
10320,37
10320,39
10320,45
10320,45
10320,48
10321,9
10321,14
10321,15
10321,24
10321,26
10321,29
10321,35
10321,49
10322,2
10322,7
10322,10
10322,13
10322,15
10322,16
10322,16
10322,26
10322,33
10322,34
10322,40
10322,44
10322,50
10322,50
10323,11
10324,2
10324,4
10324,5
10324,8
10324,12
10324,13
10324,14
10324,20
10324,21
10324,24
10324,25
10324,37
10324,39
10325,4
10325,7
10325,14
10325,19
10325,34
10325,34
10325,40
10325,41
10325,47
10326,3
10326,9
10326,25
10326,28
10326,29
10326,34
10326,36
10326,45
10326,45
10326,47
10327,2
10327,2
10327,3
10327,5
10327,6
10327,13
10327,14
10327,14
10327,29
10327,34
10327,37
10327,41
10327,48
10328,1
10328,5
10328,5
10328,7
10328,28
10328,39
10328,43
10329,18
10329,18
10329,30
10329,31
10329,39
10329,40
10329,42
10329,50
10330,13
10330,13
10330,14
10330,19
10330,23
10330,34
10330,34
10330,42
10330,47
10330,50
10331,1
10331,2
10331,6
10331,10
10331,12
10331,13
10331,18
10331,20
10331,24
10331,25
10331,27
10331,33
10331,34
10331,39
10331,42
10331,43
10331,44
10331,46
10332,1
10332,3
10332,6
10332,7
10332,9
10332,11
10332,13
10332,14
10332,21
10332,28
10332,33
10332,35
10332,36
10332,40
10332,45
10332,45
10332,50
10333,2
10333,7
10333,10
10333,27
10333,30
10333,38
10334,2
10334,20
10334,29
10334,31
10334,38
10334,42
10334,42
10335,2
10335,2
10335,6
10335,14
10335,19
10335,20
10335,22
10335,24
10335,39
10335,46
10335,49
10336,7
10336,8
10336,9
10336,11
10336,14
10336,17
10336,17
10336,26
10336,27
10336,29
10336,29
10336,30
10336,33
10336,35
10336,38
10336,38
10336,46
10336,47
10337,5
10337,5
10337,6
10337,6
10337,8
10337,10
10337,18
10337,20
10337,24
10337,38
10337,39
10337,46
10338,3
10338,6
10338,9
10338,15
10338,15
10338,17
10338,22
10338,23
10338,24
10338,30
10338,32
10338,33
10338,38
10338,40
10338,45
10339,4
10339,8
10339,14
10339,19
10339,19
10339,20
10339,26
10339,39
10339,42
10339,44
10339,45
10340,2
10340,15
10340,18
10340,20
10340,27
10340,27
10340,35
10340,35
10340,47
10340,47
10340,50
10340,50
10341,1
10341,6
10341,21
10341,21
10341,29
10341,34
10341,48
10342,10
10342,10
10342,10
10342,13
10342,16
10342,19
10342,23
10342,29
10342,33
10342,36
10342,39
10342,45
10342,47
10342,47
10342,49
10343,14
10343,32
10343,34
10343,46
10344,11
10344,14
10344,17
10344,27
10344,28
10344,30
10344,43
10344,46
10345,4
10345,16
10345,16
10345,17
10345,25
10345,29
10345,32
10345,36
10345,40
10345,41
10345,45
10345,48
10346,5
10346,6
10346,8
10346,9
10346,17
10346,21
10346,23
10346,23
10346,23
10346,25
10346,26
10346,27
10347,4
10347,7
10347,7
10347,8
10347,16
10347,25
10347,32
10347,37
10347,39
10347,50
10347,50
10348,1
10348,3
10348,18
10348,27
10348,29
10348,37
10348,38
10348,40
10349,1
10349,23
10349,29
10349,37
10349,39
10349,40
10350,1
10350,10
10350,23
10350,30
10350,35
10350,36
10350,38
10350,41
10350,42
10350,42
10350,44
10350,50
10351,4
10351,4
10351,9
10351,13
10351,18
10351,24
10351,26
10351,27
10351,31
10351,40
10351,50
10351,50
10352,13
10352,19
10352,20
10352,22
10352,24
10352,28
10352,29
10352,35
10352,43
10352,45
10352,47
10352,49
10353,1
10353,9
10353,11
10353,15
10353,15
10353,17
10353,21
10353,23
10353,30
10353,36
10353,38
10353,46
10353,47
10353,49
10354,5
10354,15
10354,17
10354,22
10354,22
10354,31
10354,39
10354,46
10354,49
10355,15
10355,19
10355,27
10355,35
10355,38
10355,42
10355,43
10355,44
10355,50
10356,3
10356,5
10356,10
10356,16
10356,17
10356,37
10356,42
10356,44
10357,6
10357,10
10357,16
10357,22
10357,24
10357,24
10357,25
10357,33
10357,43
10357,46
10358,1
10358,11
10358,17
10358,24
10358,30
10358,33
10358,36
10358,42
10358,44
10359,1
10359,8
10359,8
10359,10
10359,10
10359,14
10359,19
10359,20
10359,31
10359,36
10359,46
10359,47
10359,47
10359,49
10359,50
10360,1
10360,6
10360,19
10360,22
10360,26
10360,30
10360,31
10360,37
10360,37
10360,41
10360,44
10360,47
10360,48
10361,1
10361,3
10361,5
10361,7
10361,10
10361,11
10361,17
10361,17
10361,23
10361,25
10361,34
10361,34
10361,34
10361,36
10361,40
10361,49
10362,1
10362,3
10362,9
10362,11
10362,12
10362,13
10362,14
10362,15
10362,19
10362,36
10363,3
10363,12
10363,12
10363,15
10363,20
10363,22
10363,39
10363,44
10363,45
10364,1
10364,5
10364,7
10364,24
10364,27
10364,31
10364,37
10364,41
10364,43
10364,46
10364,47
10365,3
10365,20
10365,25
10365,29
10365,35
10365,48
10366,1
10366,2
10366,9
10366,14
10366,19
10366,26
10366,36
10366,39
10366,40
10366,43
10366,44
10367,10
10367,11
10367,17
10367,20
10367,26
10367,28
10367,29
10367,32
10367,38
10367,40
10367,41
10367,43
10368,10
10368,13
10368,15
10368,22
10368,25
10368,39
10368,44
10369,8
10369,10
10369,18
10369,19
10369,25
10369,36
10369,40
10369,48
10370,4
10370,13
10370,13
10370,17
10370,20
10370,21
10370,21
10370,21
10370,24
10370,32
10370,41
10371,2
10371,9
10371,11
10371,11
10371,19
10371,22
10371,23
10371,33
10371,34
10371,35
10371,36
10371,49
10373,5
10373,7
10373,8
10373,9
10373,20
10373,30
10373,34
10373,40
10373,45
10374,1
10374,11
10374,11
10374,12
10374,26
10374,44
10374,46
10375,11
10375,13
10375,14
10375,19
10375,22
10375,35
10375,37
10375,46
10376,2
10376,2
10376,9
10376,16
10376,23
10376,24
10376,24
10376,25
10376,41
10376,47
10377,2
10377,4
10377,8
10377,9
10377,9
10377,13
10377,14
10377,15
10377,18
10377,32
10377,33
10377,33
10377,37
10377,47
10378,7
10378,7
10378,12
10378,24
10378,24
10378,25
10378,29
10378,32
10378,34
10378,43
10378,43
10378,46
10379,4
10379,26
10379,34
10379,38
10379,49
10380,5
10380,24
10380,29
10380,35
10380,36
10380,38
10380,41
10380,41
10380,43
10380,45
10381,1
10381,5
10381,5
10381,20
10381,28
10381,28
10381,36
10381,37
10381,41
10381,48
10382,3
10382,5
10382,13
10382,28
10382,32
10382,33
10382,34
10382,42
10382,44
10382,46
10382,48
10382,49
10383,12
10383,13
10383,18
10383,18
10383,19
10383,23
10383,31
10383,34
10383,35
10383,40
10383,49
10384,17
10384,18
10384,19
10384,22
10384,26
10384,27
10384,32
10384,32
10384,34
10384,47
10384,47
10384,50
10385,9
10385,10
10385,12
10385,18
10385,20
10385,20
10385,24
10385,30
10385,30
10385,33
10385,33
10385,39
10385,39
10385,42
10385,49
10386,5
10386,8
10386,11
10386,11
10386,11
10386,15
10386,18
10386,19
10386,24
10386,40
10386,41
10386,42
10386,47
10387,18
10387,19
10387,20
10387,27
10387,31
10387,32
10387,38
10387,41
10387,48
10387,50
10387,50
10387,50
10388,2
10388,16
10388,19
10388,20
10388,20
10388,24
10388,28
10388,45
10389,6
10389,6
10389,6
10389,7
10389,15
10389,16
10389,19
10389,21
10389,25
10389,32
10389,34
10389,34
10389,45
10389,50
10390,7
10390,12
10390,17
10390,24
10390,30
10390,33
10390,36
10390,38
10390,44
10391,4
10391,4
10391,8
10391,17
10391,19
10391,23
10391,25
10391,26
10391,28
10391,30
10391,34
10391,35
10391,46
10392,6
10392,7
10392,12
10392,17
10392,27
10392,30
10392,37
10392,40
10392,41
10392,48
10393,8
10393,10
10393,12
10393,19
10393,25
10393,32
10393,32
10393,47
10394,8
10394,27
10394,29
10394,33
10394,40
10394,42
10394,43
10395,9
10395,9
10395,12
10395,13
10395,15
10395,16
10395,17
10395,24
10395,25
10395,25
10395,31
10395,41
10396,3
10396,7
10396,9
10396,10
10396,17
10396,22
10396,28
10396,34
10396,34
10396,47
10397,5
10397,7
10397,13
10397,30
10397,31
10397,33
10397,37
10397,38
10397,41
10398,15
10398,23
10398,25
10398,33
10398,44
10398,48
10399,1
10399,19
10399,22
10399,26
10399,27
10399,34
10399,35
10400,1
10400,3
10400,7
10400,10
10400,10
10400,24
10400,26
10400,30
10400,35
10400,38
10400,41
10400,47
10400,47
10401,5
10401,8
10401,10
10401,18
10401,19
10401,30
10401,31
10401,41
10402,20
10402,25
10402,31
10402,33
10402,36
10403,5
10403,7
10403,8
10403,23
10403,25
10403,29
10403,31
10403,35
10403,38
10403,44
10403,45
10403,48
10404,2
10404,4
10404,16
10404,18
10404,19
10404,19
10404,28
10404,31
10405,3
10405,3
10405,11
10405,21
10405,21
10405,25
10405,36
10405,42
10405,46
10405,48
10406,5
10406,7
10406,30
10406,31
10406,33
10406,36
10406,38
10406,38
10407,1
10407,3
10407,15
10407,17
10407,39
10407,45
10407,50
10408,1
10408,3
10408,5
10408,17
10408,22
10408,25
10409,8
10409,23
10409,24
10409,33
10409,38
10409,38
10409,38
10409,42
10409,48
10410,4
10410,19
10410,19
10410,19
10410,20
10410,28
10410,31
10410,31
10410,35
10410,41
10410,43
10411,4
10411,15
10411,16
10411,37
10411,38
10412,3
10412,18
10412,26
10412,31
10412,46
10412,47
10413,1
10413,7
10413,11
10413,12
10413,14
10413,15
10413,22
10413,24
10413,28
10413,37
10413,40
10413,48
10414,14
10414,15
10414,19
10414,33
10414,43
10414,43
10414,45
10414,47
10414,47
10414,49
10414,49
10415,9
10415,11
10415,12
10415,14
10415,17
10415,27
10415,39
10415,42
10415,42
10415,47
10415,47
10416,2
10416,7
10416,13
10416,14
10416,17
10416,23
10416,35
10416,35
10416,36
10416,40
10416,44
10416,48
10417,3
10417,18
10417,25
10417,26
10417,32
10417,38
10417,38
10417,43
10418,8
10418,9
10418,15
10418,23
10418,24
10418,30
10418,38
10419,9
10419,17
10419,27
10419,36
10419,37
10419,41
10419,47
10419,48
10420,3
10420,5
10420,5
10420,8
10420,10
10420,10
10420,17
10420,22
10420,26
10420,26
10420,27
10420,34
10420,38
10420,45
10421,1
10421,3
10421,6
10421,7
10421,7
10421,7
10421,10
10421,13
10421,16
10421,16
10421,17
10421,23
10421,26
10421,35
10421,36
10421,39
10421,39
10421,42
10422,6
10422,11
10422,18
10422,19
10422,21
10422,28
10422,32
10422,43
10422,45
10423,4
10423,12
10423,14
10423,14
10423,21
10423,25
10423,29
10423,29
10423,34
10423,34
10423,39
10423,46
10424,2
10424,10
10424,21
10424,24
10424,32
10424,36
10424,37
10424,49
10425,5
10425,14
10425,17
10425,18
10425,20
10425,20
10425,22
10425,23
10425,25
10425,25
10425,31
10425,33
10425,37
10425,43
10426,6
10426,10
10426,12
10426,15
10426,18
10426,20
10426,24
10426,34
10426,40
10426,45
10426,47
10427,2
10427,18
10427,28
10427,28
10427,32
10427,39
10427,40
10428,4
10428,17
10428,22
10428,23
10428,24
10428,35
10428,37
10429,5
10429,9
10429,23
10429,27
10429,29
10429,33
10429,42
10429,44
10429,45
10429,45
10430,11
10430,13
10430,15
10430,16
10430,17
10430,17
10430,22
10430,27
10430,28
10430,30
10430,32
10430,37
10430,43
10430,43
10430,44
10430,45
10430,46
10431,3
10431,6
10431,17
10431,19
10431,28
10431,31
10431,32
10431,35
10431,41
10431,47
10432,8
10432,8
10432,8
10432,13
10432,19
10432,21
10432,27
10432,31
10432,32
10432,37
10432,37
10432,40
10433,4
10433,5
10433,7
10433,9
10433,15
10433,18
10433,22
10433,24
10433,26
10433,41
10433,42
10434,6
10434,14
10434,18
10434,25
10434,32
10434,37
10434,38
10434,41
10434,41
10434,42
10434,49
10434,50
10435,7
10435,16
10435,17
10435,17
10435,25
10435,25
10435,40
10435,44
10435,45
10436,1
10436,4
10436,7
10436,7
10436,9
10436,18
10436,21
10436,26
10436,33
10436,38
10436,38
10436,39
10436,40
10436,46
10436,47
10437,1
10437,2
10437,9
10437,11
10437,19
10437,19
10437,33
10437,33
10437,44
10438,4
10438,9
10438,18
10438,20
10438,32
10438,38
10438,43
10438,43
10438,43
10438,43
10438,45
10438,48
10439,2
10439,16
10439,19
10439,39
10439,39
10439,39
10439,39
10439,40
10439,41
10439,43
10440,2
10440,5
10440,6
10440,20
10440,22
10440,24
10440,32
10440,40
10440,46
10440,47
10441,7
10441,11
10441,13
10441,18
10441,27
10441,32
10441,35
10441,37
10441,37
10441,44
10441,44
10442,5
10442,6
10442,13
10442,18
10442,23
10442,26
10442,30
10442,31
10442,31
10442,35
10442,42
10442,44
10442,47
10443,10
10443,12
10443,16
10443,22
10443,30
10443,32
10443,32
10443,35
10443,41
10443,42
10443,44
10444,9
10444,10
10444,18
10444,25
10444,28
10444,33
10444,33
10444,37
10444,39
10444,46
10445,2
10445,14
10445,20
10445,23
10445,23
10445,24
10445,27
10445,28
10445,34
10445,34
10445,35
10445,44
10445,48
10445,48
10445,49
10446,2
10446,5
10446,6
10446,11
10446,11
10446,28
10446,35
10446,38
10446,38
10446,39
10446,39
10446,39
10446,44
10446,47
10447,1
10447,3
10447,5
10447,6
10447,9
10447,26
10447,29
10447,37
10448,2
10448,15
10448,19
10448,23
10448,23
10448,28
10448,35
10448,35
10448,42
10448,42
10449,18
10449,26
10449,26
10449,27
10449,28
10449,31
10450,4
10450,8
10450,8
10450,12
10450,16
10450,19
10450,25
10450,28
10450,32
10450,34
10450,35
10450,35
10450,36
10450,38
10450,45
10451,2
10451,13
10451,13
10451,14
10451,16
10451,20
10451,29
10451,30
10451,33
10451,36
10451,39
10451,39
10451,42
10451,43
10451,45
10451,46
10452,2
10452,5
10452,12
10452,17
10452,31
10452,33
10452,36
10452,47
10453,1
10453,5
10453,28
10453,38
10453,49
10453,49
10454,9
10454,17
10454,26
10454,29
10454,34
10454,35
10454,47
10455,2
10455,10
10455,17
10455,18
10455,22
10455,26
10455,27
10455,29
10455,30
10455,32
10455,36
10455,45
10455,47
10455,47
10455,50
10456,2
10456,3
10456,7
10456,7
10456,8
10456,10
10456,30
10456,38
10456,45
10456,46
10457,4
10457,7
10457,7
10457,12
10457,15
10457,26
10457,40
10457,50
10458,8
10458,11
10458,14
10458,15
10458,19
10458,19
10458,27
10458,33
10458,33
10458,36
10458,37
10458,39
10458,50
10459,1
10459,21
10459,21
10459,25
10459,28
10459,29
10459,35
10459,43
10460,3
10460,8
10460,14
10460,18
10460,22
10460,23
10460,31
10460,36
10460,39
10460,50
10461,5
10461,9
10461,12
10461,13
10461,16
10461,18
10461,24
10461,24
10461,27
10461,34
10461,36
10461,44
10461,48
10462,9
10462,17
10462,19
10462,21
10462,21
10462,26
10462,27
10462,38
10462,39
10462,41
10462,43
10462,47
10463,2
10463,12
10463,14
10463,34
10463,34
10463,37
10463,39
10463,45
10463,50
10464,3
10464,16
10464,30
10464,37
10464,48
10464,49
10464,49
10465,2
10465,8
10465,18
10465,25
10465,25
10465,37
10465,49
10466,2
10466,3
10466,3
10466,3
10466,9
10466,16
10466,20
10466,23
10466,23
10466,28
10466,30
10466,34
10466,36
10466,42
10466,47
10467,1
10467,4
10467,6
10467,6
10467,9
10467,10
10467,11
10467,12
10467,18
10467,25
10467,30
10467,43
10467,44
10467,48
10468,6
10468,22
10468,35
10468,35
10468,43
10468,48
10469,1
10469,12
10469,14
10469,16
10469,26
10469,27
10469,36
10469,42
10469,50
10470,1
10470,17
10470,19
10470,21
10470,25
10470,29
10470,30
10470,32
10470,34
10470,47
10471,2
10471,17
10471,22
10471,25
10471,27
10471,36
10471,37
10471,39
10471,41
10471,44
10471,48
10472,4
10472,12
10472,14
10472,19
10472,25
10472,29
10472,31
10472,32
10472,32
10472,34
10472,47
10473,2
10473,3
10473,9
10473,12
10473,33
10473,34
10473,40
10474,4
10474,13
10474,24
10474,25
10474,25
10474,26
10474,29
10474,29
10474,34
10474,36
10474,36
10474,38
10474,45
10474,45
10475,3
10475,7
10475,12
10475,13
10475,13
10475,18
10475,23
10475,26
10475,30
10475,30
10475,35
10475,37
10475,42
10475,45
10475,48
10475,49
10476,1
10476,2
10476,9
10476,10
10476,10
10476,13
10476,20
10476,21
10476,37
10476,38
10476,39
10476,39
10476,40
10476,44
10476,46
10477,2
10477,16
10477,22
10477,29
10477,31
10477,36
10477,39
10478,15
10478,21
10478,29
10478,36
10478,39
10478,44
10478,49
10479,1
10479,4
10479,10
10479,11
10479,19
10479,23
10479,30
10479,34
10479,40
10479,49
10480,5
10480,13
10480,28
10480,28
10480,30
10480,33
10480,34
10480,36
10480,45
10480,49
10481,2
10481,5
10481,14
10481,25
10481,32
10481,37
10481,49
10482,2
10482,32
10482,43
10482,48
10483,2
10483,10
10483,15
10483,23
10483,38
10484,11
10484,14
10484,25
10484,28
10484,32
10484,45
10484,47
10484,47
10484,49
10485,4
10485,7
10485,24
10485,29
10485,41
10486,17
10486,32
10486,35
10486,40
10487,8
10487,8
10487,28
10487,50
10488,21
10488,25
10488,26
10488,31
10488,38
10488,42
10488,48
10488,49
10488,49
10488,50
10489,4
10489,15
10489,21
10489,41
10490,2
10490,7
10490,12
10490,14
10490,20
10490,21
10490,21
10490,40
10490,40
10490,46
10490,48
10490,48
10491,5
10491,6
10491,13
10491,13
10491,14
10491,16
10491,31
10491,31
10491,32
10491,36
10491,40
10491,44
10491,47
10492,1
10492,8
10492,9
10492,22
10492,23
10492,23
10492,35
10492,35
10492,39
10492,47
10492,50
10493,1
10493,6
10493,13
10493,20
10493,23
10493,31
10493,32
10494,2
10494,6
10494,17
10494,34
10494,41
10494,41
10495,5
10495,11
10495,29
10495,37
10495,42
10495,42
10495,48
10496,17
10496,40
10496,41
10497,42
10497,47
10498,2
10498,4
10498,11
10498,11
10498,16
10498,21
10498,24
10498,25
10498,25
10498,28
10498,30
10498,31
10498,34
10498,34
10498,44
10498,47
10498,50
10499,1
10499,15
10499,26
10499,27
10499,35
10499,40
10499,50
10500,1
10500,14
10500,14
10500,26
10500,27
10500,36
10500,37
10500,44
10501,3
10501,10
10501,13
10501,17
10501,19
10501,20
10501,22
10501,23
10501,24
10501,32
10501,42
10501,43
10501,44
10501,47
10502,14
10502,28
10502,34
10502,40
10502,43
10503,5
10503,5
10503,8
10503,12
10503,15
10503,23
10503,25
10503,26
10503,26
10503,33
10503,35
10504,7
10504,8
10504,12
10504,14
10504,21
10504,22
10504,24
10504,24
10504,25
10504,31
10504,39
10504,47
10505,15
10505,15
10505,17
10505,34
10505,47
10505,48
10505,49
10506,13
10506,19
10506,33
10506,42
10506,47
10506,48
10507,1
10507,6
10507,8
10507,9
10507,10
10507,11
10507,13
10507,13
10507,23
10507,29
10507,30
10507,31
10507,42
10507,49
10508,11
10508,14
10508,20
10508,34
10508,42
10508,43
10508,50
10509,1
10509,16
10509,18
10509,22
10509,31
10509,36
10509,42
10509,45
10509,47
10509,49
10510,8
10510,9
10510,12
10510,16
10510,17
10510,22
10510,22
10510,26
10510,32
10510,33
10510,33
10510,36
10510,37
10510,43
10510,48
10511,7
10511,16
10511,26
10511,36
10511,44
10511,48
10511,49
10512,12
10512,15
10512,19
10512,21
10512,24
10512,36
10512,39
10512,40
10512,41
10512,43
10513,9
10513,15
10513,16
10513,17
10513,20
10513,34
